"时间","非耕地经风蚀进入大气的磷量","海洋飞沫进入大气的磷量","农业种植经风蚀进入大气的磷量","N2大气沉降","N3大气沉降","N4大气沉降","N7大气沉降"
"1600","297184.65","4333.083333","15467.68746","231034.480424","3494","57280.25000000001","12131.519576"
"1601","297184.65","4333.083333","15467.68746","231034.480424","3494","57280.25000000001","12131.519576"
"1602","297184.65","4333.083333","15333.95711","231139.366972","3494","57280.25000000001","12026.633028"
"1603","297184.65","4333.083333","15200.62427","231243.941752","3494","57280.25000000001","11922.058248"
"1604","297184.65","4333.083333","15067.88768","231348.04887799997","3494","57280.25000000001","11817.951122"
"1605","297184.65","4333.083333","14935.9461","231451.53246800002","3494","57280.25000000001","11714.467532"
"1606","297184.65","4333.083333","14804.99829","231554.23663399997","3494","57280.25000000001","11611.763365999997"
"1607","297184.65","4333.083333","14675.24299","231656.00549399998","3494","57280.25000000001","11509.994505999995"
"1608","297184.65","4333.083333","14546.87896","231756.683166","3494","57280.25000000001","11409.316834000001"
"1609","297184.65","4333.083333","14420.10496","231856.11375999998","3494","57280.25000000001","11309.886240000002"
"1610","297184.65","4333.083333","14295.11972","231954.141396","3494","57280.25000000001","11211.858604"
"1611","297184.65","4333.083333","14172.12201","232050.610186","3494","57280.25000000001","11115.389813999998"
"1612","297184.65","4333.083333","14051.31058","232145.36424999998","3494","57280.25000000001","11020.63575"
"1613","297184.65","4333.083333","13932.88418","232238.24769999998","3494","57280.25000000001","10927.752300000002"
"1614","297184.65","4333.083333","13817.04157","232329.10465400002","3494","57280.25000000001","10836.895346000001"
"1615","297184.65","4333.083333","13703.98149","232417.77922599998","3494","57280.25000000001","10748.220774000001"
"1616","297184.65","4333.083333","13593.9027","232504.115532","3494","57280.25000000001","10661.884468"
"1617","297184.65","4333.083333","13487.00395","232587.957688","3494","57280.25000000001","10578.042312000001"
"1618","297184.65","4333.083333","13383.48399","232669.14980799993","3494","57280.25000000001","10496.850192"
"1619","297184.65","4333.083333","13283.54159","232747.53600999998","3494","57280.25000000001","10418.46399"
"1620","297184.65","4333.083333","13187.37548","232822.96041","3494","57280.25000000001","10343.03959"
"1621","297184.65","4333.083333","13095.18442","232895.26711999992","3494","57280.25000000001","10270.732880000001"
"1622","297184.65","4333.083333","13007.16717","232964.30025799997","3494","57280.25000000001","10201.699742"
"1623","297184.65","4333.083333","12923.52248","233029.90393999993","3494","57280.25000000001","10136.09606"
"1624","297184.65","4333.083333","12844.44909","233091.922282","3494","57280.25000000001","10074.077718"
"1625","297184.65","4333.083333","12770.14577","233150.19939599998","3494","57280.25000000001","10015.800603999998"
"1626","297184.65","4333.083333","12700.81126","233204.579402","3494","57280.25000000001","9961.420597999999"
"1627","297184.65","4333.083333","12636.64432","233254.90641399997","3494","57280.25000000001","9911.093585999999"
"1628","297184.65","4333.083333","12577.8437","233301.024548","3494","57280.25000000001","9864.975452"
"1629","297184.65","4333.083333","12524.60816","233342.77791800004","3494","57280.25000000001","9823.222082"
"1630","297184.65","4333.083333","12477.13319","233380.01318600003","3494","57280.25000000001","9785.986814000002"
"1631","297184.65","4333.083333","12435.48817","233412.67594199994","3494","57280.25000000001","9753.324058"
"1632","297184.65","4333.083333","12399.57862","233440.840296","3494","57280.25000000001","9725.159704"
"1633","297184.65","4333.083333","12369.2991","233464.588942","3494","57280.25000000001","9701.411058"
"1634","297184.65","4333.083333","12344.54416","233484.004578","3494","57280.25000000001","9681.995422"
"1635","297184.65","4333.083333","12325.20838","233499.169898","3494","57280.25000000001","9666.830102"
"1636","297184.65","4333.083333","12311.18631","233510.1676","3494","57280.25000000001","9655.832400000001"
"1637","297184.65","4333.083333","12302.37252","233517.080378","3494","57280.25000000001","9648.919622000001"
"1638","297184.65","4333.083333","12298.66156","233519.99093","3494","57280.25000000001","9646.00907"
"1639","297184.65","4333.083333","12299.94801","233518.981952","3494","57280.25000000001","9647.018048"
"1640","297184.65","4333.083333","12306.12642","233514.13613800003","3494","57280.25000000001","9651.863862"
"1641","297184.65","4333.083333","12317.09136","233505.536188","3494","57280.25000000001","9660.463812000002"
"1642","297184.65","4333.083333","12332.73739","233493.264796","3494","57280.25000000001","9672.735204"
"1643","297184.65","4333.083333","12352.95906","233477.404656","3494","57280.25000000001","9688.595344"
"1644","297184.65","4333.083333","12377.65095","233458.038468","3494","57280.25000000001","9707.961532000001"
"1645","297184.65","4333.083333","12406.70762","233435.24892599997","3494","57280.25000000001","9730.751074"
"1646","297184.65","4333.083333","12440.02362","233409.11872600002","3494","57280.25000000001","9756.881274000001"
"1647","297184.65","4333.083333","12477.49353","233379.730566","3494","57280.25000000001","9786.269434000002"
"1648","297184.65","4333.083333","12519.0119","233347.16713999998","3494","57280.25000000001","9818.83286"
"1649","297184.65","4333.083333","12564.47329","233311.51114400002","3494","57280.25000000001","9854.488856000002"
"1650","316726.1499","4333.083333","12613.77227","246612.845276","3494","57280.25000000001","9893.154724"
"1651","316726.1499","4333.083333","12666.80341","246571.25222999998","3494","57280.25000000001","9934.747770000002"
"1652","316726.1499","4333.083333","12723.46125","246526.81470400002","3494","57280.25000000001","9979.185296000001"
"1653","316726.1499","4333.083333","12783.64037","246479.615394","3494","57280.25000000001","10026.384606000001"
"1654","316726.1499","4333.083333","12847.23533","246429.73699599996","3494","57280.25000000001","10076.263004"
"1655","316726.1499","4333.083333","12914.14069","246377.26220400003","3494","57280.25000000001","10128.737796000001"
"1656","316726.1499","4333.083333","12984.25101","246322.273718","3494","57280.25000000001","10183.726282000001"
"1657","316726.1499","4333.083333","13057.46086","246264.85422999994","3494","57280.25000000001","10241.145770000001"
"1658","316726.1499","4333.083333","13133.66479","246205.08644000004","3494","57280.25000000001","10300.913559999999"
"1659","316726.1499","4333.083333","13212.75737","246143.05304","3494","57280.25000000001","10362.946960000001"
"1660","316726.1499","4333.083333","13294.63317","246078.83673000004","3494","57280.25000000001","10427.163270000001"
"1661","316726.1499","4333.083333","13379.18674","246012.520204","3494","57280.25000000001","10493.479796000001"
"1662","316726.1499","4333.083333","13466.31265","245944.18615999998","3494","57280.25000000001","10561.81384"
"1663","316726.1499","4333.083333","13555.90545","245873.917292","3494","57280.25000000001","10632.082708"
"1664","316726.1499","4333.083333","13647.85972","245801.796296","3494","57280.25000000001","10704.203704000001"
"1665","316726.1499","4333.083333","13742.07002","245727.90587","3494","57280.25000000001","10778.09413"
"1666","316726.1499","4333.083333","13838.4309","245652.32870800002","3494","57280.25000000001","10853.671292"
"1667","316726.1499","4333.083333","13936.83693","245575.14750800002","3494","57280.25000000001","10930.852492"
"1668","316726.1499","4333.083333","14037.18267","245496.444966","3494","57280.25000000001","11009.555034"
"1669","316726.1499","4333.083333","14139.36268","245416.30377799997","3494","57280.25000000001","11089.696222"
"1670","316726.1499","4333.083333","14243.27154","245334.80664000002","3494","57280.25000000001","11171.19336"
"1671","316726.1499","4333.083333","14348.80379","245252.03624599992","3494","57280.25000000001","11253.963754"
"1672","316726.1499","4333.083333","14455.854","245168.07529600002","3494","57280.25000000001","11337.924704000001"
"1673","316726.1499","4333.083333","14564.31674","245083.00648199994","3494","57280.25000000001","11422.993518"
"1674","316726.1499","4333.083333","14674.08656","244996.91250400004","3494","57280.25000000001","11509.087496"
"1675","316726.1499","4333.083333","14785.05803","244909.876056","3494","57280.25000000001","11596.123944"
"1676","316726.1499","4333.083333","14897.12571","244821.97983400003","3494","57280.25000000001","11684.020166000002"
"1677","316726.1499","4333.083333","15010.18417","244733.30653600002","3494","57280.25000000001","11772.693464"
"1678","316726.1499","4333.083333","15124.12796","244643.93885599996","3494","57280.25000000001","11862.061144000001"
"1679","316726.1499","4333.083333","15238.85165","244553.95949","3494","57280.25000000001","11952.04051"
"1680","316726.1499","4333.083333","15354.2498","244463.451136","3494","57280.25000000001","12042.548864"
"1681","316726.1499","4333.083333","15470.21697","244372.49649","3494","57280.25000000001","12133.50351"
"1682","316726.1499","4333.083333","15586.64773","244281.17824800004","3494","57280.25000000001","12224.821752"
"1683","316726.1499","4333.083333","15703.43664","244189.579104","3494","57280.25000000001","12316.420896"
"1684","316726.1499","4333.083333","15820.47826","244097.781756","3494","57280.25000000001","12408.218244"
"1685","316726.1499","4333.083333","15937.66715","244005.8689","3494","57280.25000000001","12500.1311"
"1686","316726.1499","4333.083333","16054.89788","243913.92323000001","3494","57280.25000000001","12592.07677"
"1687","316726.1499","4333.083333","16172.06501","243822.027446","3494","57280.25000000001","12683.972554"
"1688","316726.1499","4333.083333","16289.06309","243730.26424199998","3494","57280.25000000001","12775.735758"
"1689","316726.1499","4333.083333","16405.7867","243638.716314","3494","57280.25000000001","12867.283686"
"1690","314465.1501","4333.083333","16522.13039","243547.46635999996","3494","57280.25000000001","12958.533639999998"
"1691","314465.1501","4333.083333","16637.98873","243456.59707199995","3494","57280.25000000001","13049.402928000001"
"1692","314465.1501","4333.083333","16753.25628","243366.19115","3494","57280.25000000001","13139.808850000001"
"1693","314465.1501","4333.083333","16867.82761","243276.33129000003","3494","57280.25000000001","13229.668710000002"
"1694","314465.1501","4333.083333","16981.59726","243187.100186","3494","57280.25000000001","13318.899814"
"1695","314465.1501","4333.083333","17094.45982","243098.580534","3494","57280.25000000001","13407.419466000001"
"1696","314465.1501","4333.083333","17206.30983","243010.855034","3494","57280.25000000001","13495.144966000002"
"1697","314465.1501","4333.083333","17317.04187","242924.00637800002","3494","57280.25000000001","13581.993621999998"
"1698","314465.1501","4333.083333","17426.55049","242838.117262","3494","57280.25000000001","13667.882738000002"
"1699","314465.1501","4333.083333","17534.73026","242753.270386","3494","57280.25000000001","13752.729614000002"
"1700","314465.1501","4333.083333","17641.47574","242669.548442","3494","57280.25000000001","13836.451558"
"1701","314465.1501","4333.083333","17746.68149","242587.03413000001","3494","57280.25000000001","13918.965870000002"
"1702","314465.1501","4333.083333","17850.24207","242505.81014199997","3494","57280.25000000001","14000.189857999998"
"1703","314465.1501","4333.083333","17952.05205","242425.959178","3494","57280.25000000001","14080.040822"
"1704","314465.1501","4333.083333","18052.00599","242347.56392999997","3494","57280.25000000001","14158.43607"
"1705","314465.1501","4333.083333","18149.99845","242270.707098","3494","57280.25000000001","14235.292902000001"
"1706","314465.1501","4333.083333","18245.92399","242195.471378","3494","57280.25000000001","14310.528622000002"
"1707","314465.1501","4333.083333","18339.67719","242121.939462","3494","57280.25000000001","14384.060538"
"1708","314465.1501","4333.083333","18431.15259","242050.19405","3494","57280.25000000001","14455.80595"
"1709","314465.1501","4333.083333","18520.24476","241980.317838","3494","57280.25000000001","14525.682162000003"
"1710","314465.1501","4333.083333","18606.84826","241912.39351999998","3494","57280.25000000001","14593.60648"
"1711","314465.1501","4333.083333","18690.85766","241846.50379399996","3494","57280.25000000001","14659.496206"
"1712","314465.1501","4333.083333","18772.16752","241782.731356","3494","57280.25000000001","14723.268644000002"
"1713","314465.1501","4333.083333","18850.6724","241721.1589","3494","57280.25000000001","14784.841100000001"
"1714","314465.1501","4333.083333","18926.26687","241661.86912600003","3494","57280.25000000001","14844.130874"
"1715","314465.1501","4333.083333","18998.84547","241604.944726","3494","57280.25000000001","14901.055274"
"1716","314465.1501","4333.083333","19068.30279","241550.468398","3494","57280.25000000001","14955.531602"
"1717","314465.1501","4333.083333","19134.53338","241498.52283799998","3494","57280.25000000001","15007.477162"
"1718","314465.1501","4333.083333","19197.4318","241449.19074400002","3494","57280.25000000001","15056.809256"
"1719","314465.1501","4333.083333","19256.93014","241402.525376","3494","57280.25000000001","15103.474624"
"1720","314465.1501","4333.083333","19313.1106","241358.46227799996","3494","57280.25000000001","15147.537722000003"
"1721","314465.1501","4333.083333","19366.09287","241316.907554","3494","57280.25000000001","15189.092446000002"
"1722","314465.1501","4333.083333","19415.99668","241277.76731200004","3494","57280.25000000001","15228.232688"
"1723","314465.1501","4333.083333","19462.94173","241240.94765999992","3494","57280.25000000001","15265.05234"
"1724","314465.1501","4333.083333","19507.04775","241206.35470399997","3494","57280.25000000001","15299.645296"
"1725","314465.1501","4333.083333","19548.43445","241173.89455","3494","57280.25000000001","15332.105450000001"
"1726","314465.1501","4333.083333","19587.22153","241143.473308","3494","57280.25000000001","15362.526692000001"
"1727","314465.1501","4333.083333","19623.52872","241114.99708399997","3494","57280.25000000001","15391.002916"
"1728","314465.1501","4333.083333","19657.47572","241088.371986","3494","57280.25000000001","15417.628014"
"1729","314465.1501","4333.083333","19689.18225","241063.50412000003","3494","57280.25000000001","15442.495880000002"
"1730","314465.1501","4333.083333","19718.76802","241040.299592","3494","57280.25000000001","15465.700408000004"
"1731","314465.1501","4333.083333","19746.35275","241018.664512","3494","57280.25000000001","15487.335487999999"
"1732","314465.1501","4333.083333","19772.05614","240998.504986","3494","57280.25000000001","15507.495013999998"
"1733","314465.1501","4333.083333","19795.99792","240979.72712199998","3494","57280.25000000001","15526.272878000002"
"1734","314465.1501","4333.083333","19818.29779","240962.237024","3494","57280.25000000001","15543.762976"
"1735","314465.1501","4333.083333","19839.07547","240945.94080399998","3494","57280.25000000001","15560.059195999998"
"1736","314465.1501","4333.083333","19858.45068","240930.74456599998","3494","57280.25000000001","15575.255433999997"
"1737","314465.1501","4333.083333","19876.54312","240916.554418","3494","57280.25000000001","15589.445582"
"1738","314465.1501","4333.083333","19893.47251","240903.27646599998","3494","57280.25000000001","15602.723533999999"
"1739","314465.1501","4333.083333","19909.35855","240890.81682000004","3494","57280.25000000001","15615.183179999998"
"1740","310317.15","4333.083333","19924.32098","240879.081584","3494","57280.25000000001","15626.918416000002"
"1741","310317.15","4333.083333","19938.47949","240867.97686800003","3494","57280.25000000001","15638.023131999998"
"1742","310317.15","4333.083333","19951.95381","240857.40877799998","3494","57280.25000000001","15648.591222000003"
"1743","310317.15","4333.083333","19964.86364","240847.28342200004","3494","57280.25000000001","15658.716577999998"
"1744","310317.15","4333.083333","19977.3287","240837.50690399998","3494","57280.25000000001","15668.493095999998"
"1745","310317.15","4333.083333","19989.4687","240827.98533599998","3494","57280.25000000001","15678.014664"
"1746","310317.15","4333.083333","20001.40335","240818.62482000003","3494","57280.25000000001","15687.375180000003"
"1747","310317.15","4333.083333","20013.25238","240809.331468","3494","57280.25000000001","15696.668532"
"1748","310317.15","4333.083333","20025.12441","240800.020068","3494","57280.25000000001","15705.979932"
"1749","310317.15","4333.083333","20037.08381","240790.64014599996","3494","57280.25000000001","15715.359853999997"
"1750","310317.15","4333.083333","20049.18386","240781.14990999998","3494","57280.25000000001","15724.85009"
"1751","310317.15","4333.083333","20061.47785","240771.50756800003","3494","57280.25000000001","15734.492432"
"1752","310317.15","4333.083333","20074.01905","240761.67133","3494","57280.25000000001","15744.328669999999"
"1753","310317.15","4333.083333","20086.86076","240751.59940200002","3494","57280.25000000001","15754.400598000002"
"1754","310317.15","4333.083333","20100.05626","240741.249994","3494","57280.25000000001","15764.750006"
"1755","310317.15","4333.083333","20113.65882","240730.58131600003","3494","57280.25000000001","15775.418684000002"
"1756","310317.15","4333.083333","20127.72174","240719.551572","3494","57280.25000000001","15786.448427999998"
"1757","310317.15","4333.083333","20142.29831","240708.11897600003","3494","57280.25000000001","15797.881023999998"
"1758","310317.15","4333.083333","20157.44179","240696.24172999995","3494","57280.25000000001","15809.75827"
"1759","310317.15","4333.083333","20173.20549","240683.87804799998","3494","57280.25000000001","15822.121952000001"
"1760","310317.15","4333.083333","20189.64268","240670.98613600002","3494","57280.25000000001","15835.013864000004"
"1761","310317.15","4333.083333","20206.80664","240657.524204","3494","57280.25000000001","15848.475796"
"1762","310317.15","4333.083333","20224.75067","240643.450458","3494","57280.25000000001","15862.549541999999"
"1763","310317.15","4333.083333","20243.52804","240628.723108","3494","57280.25000000001","15877.276892000002"
"1764","310317.15","4333.083333","20263.19204","240613.30036199995","3494","57280.25000000001","15892.699638"
"1765","310317.15","4333.083333","20283.79595","240597.14043","3494","57280.25000000001","15908.85957"
"1766","310317.15","4333.083333","20305.39307","240580.20151800002","3494","57280.25000000001","15925.798481999998"
"1767","310317.15","4333.083333","20328.03666","240562.441834","3494","57280.25000000001","15943.558166000003"
"1768","310317.15","4333.083333","20351.78002","240543.81959","3494","57280.25000000001","15962.180410000003"
"1769","310317.15","4333.083333","20376.67644","240524.29299000002","3494","57280.25000000001","15981.70701"
"1770","310317.15","4333.083333","20402.77918","240503.82024799995","3494","57280.25000000001","16002.179751999998"
"1771","310317.15","4333.083333","20430.14155","240482.359566","3494","57280.25000000001","16023.640434"
"1772","310317.15","4333.083333","20458.81682","240459.86915800002","3494","57280.25000000001","16046.130842"
"1773","310317.15","4333.083333","20488.85828","240436.307228","3494","57280.25000000001","16069.692771999999"
"1774","310317.15","4333.083333","20520.31921","240411.631988","3494","57280.25000000001","16094.368012000003"
"1775","310317.15","4333.083333","20553.2529","240385.80164400002","3494","57280.25000000001","16120.198356"
"1776","310317.15","4333.083333","20587.71263","240358.77440599998","3494","57280.25000000001","16147.225594000001"
"1777","310317.15","4333.083333","20623.73083","240330.52484199998","3494","57280.25000000001","16175.475158000001"
"1778","310317.15","4333.083333","20661.25649","240301.09295","3494","57280.25000000001","16204.907049999998"
"1779","310317.15","4333.083333","20700.21776","240270.535092","3494","57280.25000000001","16235.464908"
"1780","310317.15","4333.083333","20740.54277","240238.90762800002","3494","57280.25000000001","16267.092372000003"
"1781","310317.15","4333.083333","20782.15968","240206.26691799998","3494","57280.25000000001","16299.733081999999"
"1782","310317.15","4333.083333","20824.99662","240172.66932200003","3494","57280.25000000001","16333.330678"
"1783","310317.15","4333.083333","20868.98172","240138.17119999998","3494","57280.25000000001","16367.828800000001"
"1784","310317.15","4333.083333","20914.04314","240102.828912","3494","57280.25000000001","16403.171088"
"1785","310317.15","4333.083333","20960.10901","240066.698818","3494","57280.25000000001","16439.301182000003"
"1786","310317.15","4333.083333","21007.10747","240029.83727800002","3494","57280.25000000001","16476.162722"
"1787","310317.15","4333.083333","21054.96667","239992.300654","3494","57280.25000000001","16513.699346"
"1788","310317.15","4333.083333","21103.61474","239954.14530200002","3494","57280.25000000001","16551.854698"
"1789","310317.15","4333.083333","21152.97983","239915.427586","3494","57280.25000000001","16590.572414000002"
"1790","310045.1499","4333.083333","21202.99007","239876.20386399998","3494","57280.25000000001","16629.796136"
"1791","310045.1499","4333.083333","21253.57362","239836.53049599996","3494","57280.25000000001","16669.469504"
"1792","310045.1499","4333.083333","21304.6586","239796.463842","3494","57280.25000000001","16709.536158000003"
"1793","310045.1499","4333.083333","21356.17316","239756.060262","3494","57280.25000000001","16749.939738"
"1794","310045.1499","4333.083333","21408.04545","239715.376118","3494","57280.25000000001","16790.623882000004"
"1795","310045.1499","4333.083333","21460.2036","239674.46776799997","3494","57280.25000000001","16831.532232"
"1796","310045.1499","4333.083333","21512.57574","239633.391572","3494","57280.25000000001","16872.608428000003"
"1797","310045.1499","4333.083333","21565.09004","239592.20389200002","3494","57280.25000000001","16913.796108"
"1798","310045.1499","4333.083333","21617.67462","239550.96108600002","3494","57280.25000000001","16955.038914"
"1799","310045.1499","4333.083333","21670.25762","239509.71951399994","3494","57280.25000000001","16996.280486"
"1800","310045.1499","4333.083333","21722.76719","239468.53553800003","3494","57280.25000000001","17037.464462"
"1801","310045.1499","4333.083333","21775.13147","239427.465516","3494","57280.25000000001","17078.534484"
"1802","310045.1499","4333.083333","21827.27859","239386.56581","3494","57280.25000000001","17119.434190000004"
"1803","310045.1499","4333.083333","21879.13671","239345.892778","3494","57280.25000000001","17160.107222"
"1804","310045.1499","4333.083333","21930.63395","239305.50278","3494","57280.25000000001","17200.497219999997"
"1805","310045.1499","4333.083333","21981.69847","239265.452178","3494","57280.25000000001","17240.547822"
"1806","310045.1499","4333.083333","22032.26165","239225.794782","3494","57280.25000000001","17280.205218"
